sku;old_url;operation;new_url;
tom-02010201-C;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010201-C;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010201-21;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010201-21;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010201;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010201;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010101;http://www.trains-addicted.ro/manuals/tom/tOm-fdbasic-manual.pdf;;manuals/tom/tOm-fdbasic-manual.pdf;
tom-0-lumini;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-0-acc;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
sta70xx;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta7063;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta7062;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta7061;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta7060;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta7053;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta7052;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta7051;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
